Processo,Classe/Assunto,Relator(a),Comarca,Órgão julgador,Data do julgamento,Data de publicação,Ementa;;;;;;;;;;;;;;;;;;;;;;
"0001710-75.2011.8.12.0029,Apelação Criminal / Falsidade,Des. Ruy Celso Barbosa Florence,Campo Grande,2ª Câmara Criminal,2022-12-16,2023-01-11,""Ementa: APELAÇÃO CRIMINAL DEFENSIVA – SENTENÇA CONDENATÓRIA – 69-A DA LEI 9605/98 (RELATÓRIO AMBIENTAL TOTAL OU PARCIALMENTE FALSO OU ENGANOSO, INCLUSIVE POR OMISSÃO) – PEDIDO DE ABSOLVIÇÃO E DE DECLASSIFICAÇÃO PARA MODALIDADE CULPOSA – IMPROCEDÊNCIA – CONJUNTO PROBATÓRIO SEGURO SOBRE A HIPÓTESE DENUNCIADA – PRINCÍPIO DA INSIGNIFICÂNCIA – REQUISITOS NÃO PREENCHIDOS – INAPLICABILIDADE – RECURSO NÃO PROVIDO. Em sendo seguro o conjunto probatório amealhado pela acusação no sentido de que a recorrente, dolosamente, apresentou Relatório Ambiental parcialmente falso, no qual atestou área existente de Reserva Legal que, na realidade, era efetivamente utilizada para o cultivo de cana, deve ser mantida a respectiva condenação pela prática do crime tipificado no art. 69-A da Lei 9605/98, afastando-se os pedidos de absolvição e de desclassificação. Inviável o reconhecimento da atipicidade da conduta sob o prisma da insignificância se não preenchidos os respectivos requisitos, quais sejam, a mínima ofensividade, nenhuma periculosidade social da ação, o reduzidíssimo grau de reprovabilidade do comportamento e a inexpressividade de lesão jurídica provocada. Recurso não provido, com o parecer.""";;;;;;;;;;;;;;;;;;;;;;
1416261-79.2022.8.12.0000,Agravo de Instrumento / Esbulho / Turbação / Ameaça,Des. Vilson Bertelli,Três Lagoas,5ª Câmara Cível,2022-12-16,2023-01-11,Ementa: AGRAVO DE INSTRUMENTO – CUMPRIMENTO DE SENTENÇA DE REINTEGRAÇÃO DE POSSE E RECUPERAÇÃO AMBIENTAL – IMPOSSIBILIDADE DE DEMOLIÇÃO DE CERCA CONSTRUÍDA EM IMÓVEL CONTÍGUO E DE PEQUENA EXTENSÃO. Não é possível a demolição de cerca construída em imóvel contíguo e de pequena extensão sem a efetiva alteração na área de conservação. Recurso não provido.;;;;;;;;;;;;;;;;;;;;;;
"0900117-64.2018.8.12.0053,Apelação Cível / Área de Preservação Permanente,Des. Vilson Bertelli,Dois Irmãos do Buriti,5ª Câmara Cível,2022-12-16,2023-01-09,""Ementa: RECURSO DE APELAÇÃO – AÇÃO CIVIL PÚBLICA – DANOS AMBIENTAIS – INVERSÃO DO ÔNUS DA PROVA INDEFERIDO – ATIVIDADE DE BAIXO IMPACTO AMBIENTAL – INEXIGIBILIDADE DE PROJETO DE RECUPERAÇÃO DE ÁREAS DEGRADADAS OU ALTERADAS (PRAD) – POSSIBILIDADE DA CONTINUIDADE DA ATIVIDADE – AUSÊNCIA DE ELEMENTOS PARA ENSEJAR CONDENAÇÃO EM DANOS. 01. Ao autor incumbe o ônus de provar a existência do nexo de causalidade provável entre a atividade exercida e o dano ambiental, sendo a inversão do ônus da prova medida excepcional a ser analisada caso a caso. Manutenção do indeferimento do requerimento de inversão do ônus da prova. 02. Hipótese de atividade de baixo impacto ambiental. Conforme o art. 52, caput, do Código Florestal, basta a declaração ao órgão ambiental, não sendo exigível o projeto de recuperação de áreas degradadas ou alteradas (PRAD), instrumento destinado à regularização de áreas consolidadas. Autorização, pelo Código Florestal (art. 61-A, § 12) da continuidade da atividade agrossilvipastoril, ecoturismo e turismo rural nas Áreas de Preservação Permanente consolidadas até 22 de julho de 2008. Ausência de elementos suficientes para a condenação do réu na reparação dos danos ambientais, especialmente diante da ausência de especificação dos danos ocorridos, pretéritos ou irreparáveis postulados na inicial. Recurso não provido.""";;;;;;;;;;;;;;;;;;;;;;
"1417218-80.2022.8.12.0000,Agravo de Instrumento / Despejo para Uso Próprio,Des. Geraldo de Almeida Santiago,Bandeirantes,5ª Câmara Cível,2022-12-15,2023-01-09,""Ementa: AGRAVO DE INSTRUMENTO – AÇÃO DE RESCISÃO CONTRATUAL – TUTELA DE URGÊNCIA – DECISÃO QUE DETERMINA A DESOCUPAÇÃO DE IMÓVEL RURAL ARRENDADO – DANO AMBIENTAL – AUSÊNCIA DO REQUISITO DA PROBABILIDADE DE DIREITO – NECESSIDADE DE INSTRUÇÃO PROCESSUAL E EXERCÍCIO DO CONTRADITÓRIO – ARTIGO 300 DO CPC - REQUISITOS LEGAIS NÃO VERIFICADOS - DECISÃO REFORMADA – RECURSO PARCIALMENTE CONHECIDO E, NA PARTE CONHECIDA, PROVIDO. Consoante o art. 300 do CPC, para a concessão da tutela de urgência, devem estar presentes elementos que evidenciem a probabilidade do direito almejado pela parte, o perigo de dano ou o risco ao resultado útil do processo e, por fim, que esteja ausente o perigo de irreversibilidade dos efeitos da decisão, conhecido como requisito negativo. No caso, a probabilidade do direito não restou evidenciada nos autos, por ser necessária a instrução probatória para se atribuir verossimilhança quanto à autoria e responsabilização pelos danos ambientais noticiados nos autos, assim entendido o devido processo legal, não havendo meios, portanto, para o deferimento do despejo dos agravantes, notadamente, no caso dos autos em que é notoriamente conhecida a belicosidade entre as partes, com constantes Boletins de Ocorrência Policial, por ambas as partes, impondo-se, assim, o encerramento da fase de instrução para a análise da pretensão inicial. Ademais, o desapossamento dos agravantes, traduz efeito consequencial do pedido principal que é a rescisão do contrato de parceria rural, impondo-se, como corolário, a instrução probatória para conhecer, previamente, a culpabilidade da parte que teria dado causa à resolução da avença para, só então, determinar a rescisão contratual pleiteada. Não há meios para o conhecimento do pedido recursal dos agravantes para que os agravados """"sejam impedidos de ingressar na área onde a posse está cedida aos agravantes sem autorização e acompanhamento destes"""", uma vez que essa questão não foi objeto da decisão recorrida, sequer discutida, não sendo possível, portanto, o conhecimento dessa questão, sob pena inclusive de julgamento 'per saltum'. Não há razão para se perquirir a urgência para a concessão da medida antecipada, uma vez que, os requisitos do artigo 300 são cumulativos. Recurso parcialmente conhecido e, na parte conhecida, provido.""";;;;;;;;;;;;;;;;;;;;;;
"0801822-20.2020.8.12.0021,""Apelação Cível / Defeito, nulidade ou anulação"",Desª Jaceguara Dantas da Silva,Três Lagoas,5ª Câmara Cível,2022-12-16,2023-01-09,""Ementa: APELAÇÃO CÍVEL – AÇÃO ANULATÓRIA C/C INDENIZATÓRIA – AUTUAÇÃO POR DANO AMBIENTAL – INVASÃO DE ÁREA DE PRESERVAÇÃO AMBIENTAL – GADO DE RESPONSABILIDADE DO REQUERENTE – RESPONSABILIDADE SUBJETIVA – ABATE DOS ANIMAIS – DECORRÊNCIA DA APREENSÃO E AUSÊNCIA DE PROVAS SOBRE A VACINAÇÃO – ÔNUS DO PROPRIETÁRIO – ALEGAÇÃO DE CULPA DA REQUERIDA PELA INVASÃO – FALTA DE MANUTENÇÃO DAS CERCAS – AUSÊNCIA DE PROVAS – AUTOR REINCIDENTE EM FATOS SEMELHANTES – RECURSO CONHECIDO E DESPROVIDO. Insurge-se o Requerente contra a sentença proferida em primeiro grau, que julgou improcedente o pedido e rejeitou, por consequência, a pretensão de anulação da autuação por dano ambiental (invasão de gado em Área de Proteção Ambiental) e danos materiais e morais. Com relação à pretensão de anulação da infração administrativa, segundo entendimento consolidado no âmbito do Superior Tribunal de Justiça, """"a responsabilidade administrativa ambiental tem caráter subjetivo, exigindo-se a demonstração de dolo ou culpa e do nexo causal entre conduta e dano"""" (AgInt nos EDcl no REsp n. 1.967.742/PR, relatora Ministra Regina Helena Costa, Primeira Turma, julgado em 24/10/2022, DJe de 26/10/2022). No caso, as provas dos autos demonstram que o Requerente já havia sido notificado em outras oportunidades a respeito da invasão do gado em Área de Preservação Ambiental e não adotou nenhuma conduta objetiva visando evitar os danos ambientais. No curso da demanda foram apresentadas documentos técnicos a demonstrar que o abate dos animais decorreu de medida sanitária, em razão da falta de provas da regularidade do gado e submissão destes ao esquema vacinal contra a febre aftosa. O Requerente não apresentou nenhuma prova da regularidade do gado que criava na propriedade mencionada à inicial. No que diz respeito ao pedido de indenização por danos materiais e morais em face da Requerida, por supostamente destruir as cercas e facilitar a fuga do gado, não há provas que reforcem a tese inicial. Ao reverso, dos autos se extrai a culpa preponderante do Requerente, inclusive indícios de que se utilizava da área vizinha para criação do gado apreendido. Recurso conhecido e desprovido.""";;;;;;;;;;;;;;;;;;;;;;
"1414339-03.2022.8.12.0000,Agravo de Instrumento / Ambiental,Des. Eduardo Machado Rocha,Nova Andradina,2ª Câmara Cível,2022-12-06,2022-12-08,""Ementa: AGRAVO DE INSTRUMENTO – CUMPRIMENTO DE SENTENÇA – AÇÃO CIVIL PÚBLICA AMBIENTAL – OBRIGAÇÃO DE FAZER E DE NÃO FAZER – DISCUSSÃO RELACIONADA À FORMA DE CUMPRIMENTO DA SENTENÇA – IMPOSSIBILIDADE – COISA JULGADA – FIDELIDADE AO TÍTULO EXECUTIVO – SUSPENSÃO DO PROCESSO – INADMISSIBILIDADE – PREQUESTIONAMENTO - RECURSO CONHECIDO E DESPROVIDO. A fase de cumprimento de sentença encontra limites estreitos no princípio da fidelidade do título, mormente em atenção à segurança jurídica e à estabilidade da coisa julgada. O artigo 507 do CPC estabelece ser vedado à parte rediscutir no curso do processo as questões já decididas a cujo respeito operou-se a preclusão. A despeito de serem ajuizadas diversas ações civis públicas semelhantes, todas elas tiveram tramitação independente, cuidando-se de demandas distintas, propostas contra os diversos proprietários de ranchos e pesqueiros localizados às margens do rio Ivinhema. Eventual desfecho que seja dado em outra ação civil pública não irradiará nenhuma consequência à presente demanda, justamente porque se tratam de ações distintas, com provimentos judiciais que apenas produzem efeitos entre as partes. Torna-se desnecessária a manifestação expressa a respeito dos dispositivos legais, porquanto, não está o magistrado obrigado a abordar artigo por artigo de lei, mas tão somente a apreciar os pedidos e a causa de pedir, fundamentando a matéria que interessa ao correto julgamento da lide.""";;;;;;;;;;;;;;;;;;;;;;
0000729-83.2019.8.12.0023,Apelação Criminal / Crimes contra a Fauna,Des. Emerson Cafure,Angélica,1ª Câmara Criminal,2022-11-30,2022-12-07,Ementa: APELAÇÃO CRIMINAL – CRIME AMBIENTAL – PESCA PROIBIDA – PRINCÍPIO DA INSIGNIFICÂNCIA – INAPLICABILIDADE – NÃO PROVIMENTO. O princípio da insignificância somente é aplicável aos crimes ambientais caso demonstrada a ínfima ofensividade ao bem ambiental tutelado. Demonstrado que os acusados realizaram pesca com utilização de petrechos proibidos e transportaram relevante de quantidade de espécimes aquáticos resta evidente a expressiva ofensa ao bem jurídico tutelado. Apelação defensiva a que se nega provimento com base na correta aplicação da lei.;;;;;;;;;;;;;;;;;;;;;;
"1414085-30.2022.8.12.0000,Agravo de Instrumento / Despejo para Uso Próprio,Des. Luiz Antônio Cavassa de Almeida,Campo Grande,5ª Câmara Cível,2022-12-01,2022-12-06,""Ementa: AGRAVO DE INSTRUMENTO – AÇÃO DE RESOLUÇÃO CONTRATUAL C.C DESPEJO – LIMINAR DE DESPEJO – PROBABILIDADE DO DIREITO NÃO EVIDENCIADO – NECESSIDADE DE DILAÇÃO PROBATÓRIA – DECISÃO MANTIDA – RECURSO CONHECIDO E IMPROVIDO. O Decreto n. 59.566/66, no art. 32, incisos IV e IX, até permite o despejo do arrendatário do imóvel rural, porém, desde que reste demonstrado a existência do dano à gleba e a efetiva comprovação de culpa ou dolo do arrendatário, ou se infringir obrigação legal ou cometer infração grave de obrigação contratual. Ocorre que, no caso dos autos, imperiosa a dilação probatória, apurando-se, com a necessária profundidade, se houve inadimplemento contratual por parte da arrendatária ou, ainda, se agiu ela com culpa ou dolo. Conquanto tenha o agravante anexado aos autos principais laudo pericial relatando a degradação das pastagens e a existência de erosões, trata-se de prova unilateral produzida por perito por ele próprio contratado. No que diz respeito a alegação de desmatamento e remoção ilícita de material lenhoso sem a devida licença ambiental, ao examinar minudentemente o Boletim de Ocorrências anexado aos autos principais, constata-se que para a propriedade rural em referência existem autorizações vencidas para o corte de árvores. Desse modo, como não restou evidenciado a data de vencimento destas autorizações, se o local, de fato, é reserva ambiental devidamente constituída, assim como a data de derrubada das árvores, não há prova segura de descumprimento contratual quanto a este fato, necessitando, obviamente, de instrução probatória. Recurso conhecido e improvido.""";;;;;;;;;;;;;;;;;;;;;;
"1413048-65.2022.8.12.0000,Agravo de Instrumento / Dano Ambiental,Des. Odemilson Roberto Castro Fassa,Ivinhema,3ª Câmara Cível,2022-11-30,2022-12-05,""Ementa: E M E N T A – AGRAVO DE INSTRUMENTO. AÇÃO CIVIL PÚBLICA. INVERSÃO DO ÔNUS DA PROVA – AMBIENTAL – PRINCÍPIO DA PREVENÇÃO - POSSIBILIDADE. RECURSO CONHECIDO E DESPROVIDO. Além de ser interesse do Ente Público, é ele quem possui maior capacidade para demonstrar a adoção de Políticas Públicas para evitar, minimizar e recuperar os danos ambientais, não podendo deixar ao encargo da sociedade tal ônus. Versando sobre meio ambiente, justifica-se a inversão do ônus da prova, também, pelo princípio da prevenção. Precedentes.""";;;;;;;;;;;;;;;;;;;;;;
"0806403-72.2019.8.12.0002,Apelação Cível / Direito de Imagem,Juiz Lúcio R. da Silveira,Dourados,4ª Câmara Cível,2022-11-30,2022-12-05,""Ementa: APELAÇÃO CÍVEL – AÇÃO DE INDENIZAÇÃO POR DANOS MATERIAIS - CRIAÇÃO DE ÁREA """"NON AEDIFICANDI"""" - ÁREA DECLARADA DE PRESERVAÇÃO PERMANENTE - RESTRIÇÃO AO DIREITO DE PROPRIEDADE - PROIBIÇÃO DE CONSTRUIR IMÓVEL RESIDENCIAL - ESVAZIAMENTO DO CONTEÚDO ECONÔMICO DO IMÓVEL DOS AUTORES - DESAPROPRIAÇÃO INDIRETA - DEVER DE INDENIZAR – VALOR DA INDENIZAÇÃO EQUIVALENTE AO VALOR DO IMÓVEL SEGUNDO PROVA PERICIAL – JUROS DE MORA E CORREÇÃO MONETÁRIA – TEMAS 810 DO STF E 905 DO STJ - A PARTIR DE 09/12/2021 - OBSERVÂNCIA DA EC/113 - JUROS E CORREÇÃO DE ACORDO COM A TAXA SELIC UMA ÚNICA VEZ – INVERSÃO DA SUCUMBÊNCIA - RECURSO CONHECIDO E PARCIALMENTE PROVIDO. I - Já decidiram os Tribunais que a indenização é devida quando há lei que cria área """"non aedificandi"""" por ser zona de preservação permanente e o terreno da parte sofre drástica redução quanto à possibilidade de uso, gozo e fruição, porque proibida a construção de residência no local. Essa restrição ao direito de propriedade importa em esvaziamento do conteúdo econômico do imóvel, o que se traduz em desapropriação indireta e gera o dever do ente público indenizar os prejuízos materiais dos proprietários. II - Na hipótese dos autos, os Autores adquiriram a posse do imóvel em 1989 e a propriedade através da Ação de Usucapião em 2015, sem qualquer informação sobre ser área de preservação permanente, sendo que em 2016, quando resolveram construir sua residência, foram impedidos, por se tratar de ZEIA – Zona Especial de Interesse Ambiental e estar localizado a menos de 50 metros da área alagável, sendo considerada área de preservação permanente. III - Logo, dada a ausência de informação acerca da restrição constante do imóvel, bem como a criação de lei posterior à aquisição pelos Apelantes, ou seja, e Lei Complementar Municipal n. 72/2003 e Complementar Municipal n. 205/2012, tem-se como devido o direito à indenização. IV – Os Autores tiveram prejuízo de 70% do valor do bem em razão de ser área de preservação permanente, de forma que a indenização deve corresponder a R$ 971.148,50, segundo a prova pericial. V- Em relação aos valores pretéritos deverá ser aplicada correção monetária pelo IPCA-E e juros de mora pelo índice da remuneração da caderneta de poupança até 08/12/2021, em consonância com o Tema 810 do STF e Recurso Repetitivo nº 1.495.146-MG do STJ. A partir de 09/12/2021 em observância à EC/113, a correção monetária e os juros de mora deverão aplicados pela Taxa Selic de uma única vez. VI – Diante da parcial procedência do pedido, tem-se que os Autores decaíram de parte mínima do pedido, devendo o Requerido pagar os honorários advocatícios em favor dos Autores, estes que se fixa em 10% do valor atualizado da condenação, nos termos do art. 85, § 3º, I, do CPC, sendo isento das custas processuais. VII – Recurso conhecido e parcialmente provido.""";;;;;;;;;;;;;;;;;;;;;;
